palabra,color_tinta,tecla_correcta
azul,yellow,right
amarillo,green,left
verde,yellow,right
amarillo,red,up
amarillo,green,left
verde,red,up
azul,green,left
verde,yellow,right
azul,red,up
rojo,yellow,right
azul,green,left
verde,red,up
rojo,blue,down
verde,yellow,right
rojo,green,left
verde,blue,down
azul,red,up
amarillo,blue,down
azul,green,left
amarillo,red,up
rojo,yellow,right
verde,red,up
verde,blue,down
rojo,green,left
azul,yellow,right
verde,blue,down
rojo,yellow,right
amarillo,green,left
amarillo,red,up
amarillo,blue,down
azul,red,up
amarillo,blue,down
azul,yellow,right
rojo,blue,down
rojo,green,left
rojo,blue,down
