palabra,color_tinta,tecla_correcta
azul,red,up
amarillo,green,left
verde,blue,down
amarillo,red,up
amarillo,green,left
azul,yellow,right
verde,blue,down
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
rojo,yellow,right
azul,red,up
azul,green,left
azul,yellow,right
amarillo,red,up
amarillo,blue,down
amarillo,green,left
rojo,yellow,right
rojo,green,left
verde,red,up
amarillo,blue,down
verde,red,up
rojo,green,left
verde,yellow,right
rojo,blue,down
verde,red,up
azul,yellow,right
azul,green,left
rojo,blue,down
azul,green,left
verde,blue,down
rojo,green,left
azul,red,up
verde,yellow,right
rojo,blue,down
verde,yellow,right
