palabra,color_tinta,tecla_correcta
rojo,yellow,right
verde,red,up
verde,yellow,right
amarillo,red,up
rojo,yellow,right
azul,red,up
amarillo,blue,down
azul,yellow,right
verde,blue,down
azul,yellow,right
rojo,green,left
rojo,yellow,right
azul,green,left
amarillo,blue,down
azul,yellow,right
azul,green,left
azul,red,up
amarillo,blue,down
verde,yellow,right
rojo,blue,down
azul,green,left
azul,red,up
amarillo,green,left
verde,yellow,right
amarillo,red,up
verde,blue,down
rojo,green,left
verde,red,up
verde,blue,down
rojo,green,left
verde,red,up
amarillo,green,left
amarillo,red,up
rojo,blue,down
amarillo,green,left
rojo,blue,down
