palabra,color_tinta,tecla_correcta
azul,yellow,right
azul,green,left
verde,yellow,right
rojo,green,left
verde,blue,down
azul,red,up
rojo,blue,down
azul,red,up
azul,green,left
rojo,blue,down
amarillo,green,left
amarillo,red,up
rojo,green,left
verde,red,up
rojo,blue,down
rojo,yellow,right
azul,green,left
verde,yellow,right
verde,blue,down
azul,red,up
verde,blue,down
azul,yellow,right
amarillo,blue,down
rojo,green,left
rojo,yellow,right
amarillo,red,up
rojo,yellow,right
amarillo,green,left
verde,yellow,right
amarillo,green,left
azul,yellow,right
verde,red,up
amarillo,blue,down
verde,red,up
amarillo,blue,down
amarillo,red,up
