palabra,color_tinta,tecla_correcta
azul,yellow,right
verde,red,up
rojo,yellow,right
amarillo,red,up
azul,yellow,right
amarillo,green,left
amarillo,red,up
amarillo,green,left
amarillo,red,up
rojo,blue,down
rojo,yellow,right
amarillo,blue,down
verde,yellow,right
rojo,green,left
rojo,yellow,right
verde,blue,down
azul,red,up
azul,yellow,right
azul,red,up
verde,yellow,right
amarillo,blue,down
rojo,green,left
verde,red,up
verde,blue,down
amarillo,green,left
amarillo,blue,down
rojo,green,left
rojo,blue,down
verde,yellow,right
verde,red,up
azul,green,left
rojo,blue,down
azul,red,up
azul,green,left
verde,blue,down
azul,green,left
