palabra,color_tinta,tecla_correcta
amarillo,red,up
rojo,blue,down
amarillo,red,up
rojo,blue,down
amarillo,green,left
verde,yellow,right
azul,green,left
verde,red,up
rojo,green,left
rojo,blue,down
amarillo,red,up
azul,yellow,right
azul,red,up
azul,green,left
amarillo,blue,down
rojo,green,left
verde,red,up
amarillo,blue,down
azul,yellow,right
verde,blue,down
verde,red,up
verde,yellow,right
azul,red,up
azul,yellow,right
azul,red,up
verde,yellow,right
amarillo,blue,down
rojo,yellow,right
azul,green,left
rojo,yellow,right
verde,blue,down
amarillo,green,left
rojo,yellow,right
amarillo,green,left
verde,blue,down
rojo,green,left
