palabra,color_tinta,tecla_correcta
amarillo,green,left
rojo,blue,down
amarillo,green,left
amarillo,blue,down
rojo,yellow,right
amarillo,green,left
verde,yellow,right
rojo,green,left
azul,red,up
azul,yellow,right
verde,blue,down
rojo,green,left
verde,blue,down
azul,red,up
verde,yellow,right
amarillo,blue,down
verde,red,up
amarillo,blue,down
verde,red,up
rojo,blue,down
azul,green,left
verde,blue,down
verde,red,up
azul,yellow,right
rojo,blue,down
azul,green,left
azul,red,up
rojo,green,left
amarillo,red,up
rojo,yellow,right
azul,green,left
azul,yellow,right
amarillo,red,up
verde,yellow,right
amarillo,red,up
rojo,yellow,right
