palabra,color_tinta,tecla_correcta
amarillo,green,left
verde,red,up
rojo,green,left
azul,yellow,right
azul,red,up
rojo,green,left
amarillo,blue,down
rojo,yellow,right
azul,green,left
verde,blue,down
verde,red,up
azul,green,left
rojo,yellow,right
azul,red,up
azul,green,left
azul,yellow,right
verde,blue,down
rojo,green,left
amarillo,red,up
rojo,yellow,right
amarillo,green,left
azul,yellow,right
amarillo,blue,down
verde,red,up
verde,blue,down
amarillo,green,left
azul,red,up
amarillo,blue,down
verde,yellow,right
amarillo,red,up
rojo,blue,down
amarillo,red,up
verde,yellow,right
rojo,blue,down
verde,yellow,right
rojo,blue,down
