palabra,color_tinta,tecla_correcta
verde,blue,down
azul,yellow,right
rojo,green,left
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
amarillo,red,up
azul,green,left
verde,blue,down
rojo,green,left
verde,red,up
verde,blue,down
azul,red,up
rojo,green,left
verde,red,up
azul,green,left
amarillo,blue,down
azul,yellow,right
amarillo,green,left
rojo,blue,down
amarillo,green,left
rojo,blue,down
rojo,yellow,right
azul,red,up
azul,green,left
azul,yellow,right
rojo,blue,down
verde,red,up
verde,yellow,right
amarillo,red,up
rojo,yellow,right
azul,red,up
amarillo,green,left
rojo,yellow,right
amarillo,red,up
verde,yellow,right
