palabra,color_tinta,tecla_correcta
azul,red,up
azul,yellow,right
azul,green,left
verde,yellow,right
azul,green,left
azul,red,up
verde,blue,down
amarillo,green,left
amarillo,red,up
verde,blue,down
verde,yellow,right
azul,green,left
verde,red,up
amarillo,blue,down
amarillo,green,left
verde,blue,down
azul,red,up
rojo,green,left
amarillo,blue,down
amarillo,green,left
rojo,yellow,right
amarillo,red,up
rojo,yellow,right
rojo,blue,down
azul,yellow,right
verde,red,up
azul,yellow,right
rojo,green,left
verde,yellow,right
rojo,green,left
rojo,blue,down
verde,red,up
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
rojo,blue,down
