palabra,color_tinta,tecla_correcta
azul,yellow,right
rojo,green,left
rojo,blue,down
rojo,green,left
amarillo,blue,down
amarillo,green,left
verde,red,up
amarillo,blue,down
amarillo,red,up
rojo,green,left
verde,red,up
rojo,blue,down
azul,red,up
azul,green,left
verde,blue,down
azul,red,up
azul,yellow,right
amarillo,red,up
azul,yellow,right
rojo,blue,down
amarillo,red,up
azul,green,left
verde,yellow,right
azul,green,left
verde,blue,down
verde,red,up
rojo,yellow,right
amarillo,green,left
amarillo,blue,down
verde,yellow,right
amarillo,green,left
rojo,yellow,right
azul,red,up
verde,yellow,right
verde,blue,down
rojo,yellow,right
