palabra,color_tinta,tecla_correcta
rojo,yellow,right
azul,red,up
verde,yellow,right
verde,red,up
azul,green,left
amarillo,blue,down
rojo,green,left
verde,blue,down
amarillo,green,left
amarillo,red,up
amarillo,blue,down
azul,red,up
amarillo,green,left
verde,blue,down
verde,yellow,right
amarillo,red,up
rojo,blue,down
verde,red,up
amarillo,green,left
verde,red,up
rojo,yellow,right
rojo,blue,down
azul,green,left
verde,yellow,right
azul,green,left
azul,red,up
rojo,blue,down
rojo,yellow,right
verde,blue,down
amarillo,red,up
azul,yellow,right
rojo,green,left
azul,yellow,right
rojo,green,left
azul,yellow,right
amarillo,blue,down
