palabra,color_tinta,tecla_correcta
rojo,blue,down
azul,green,left
amarillo,red,up
azul,green,left
amarillo,blue,down
amarillo,green,left
azul,yellow,right
amarillo,green,left
verde,blue,down
amarillo,red,up
amarillo,green,left
rojo,yellow,right
verde,red,up
azul,green,left
rojo,yellow,right
amarillo,blue,down
verde,red,up
verde,yellow,right
rojo,blue,down
verde,yellow,right
amarillo,blue,down
amarillo,red,up
rojo,green,left
verde,yellow,right
rojo,green,left
rojo,yellow,right
verde,red,up
rojo,green,left
azul,red,up
rojo,blue,down
azul,red,up
azul,yellow,right
verde,blue,down
azul,red,up
verde,blue,down
azul,yellow,right
