palabra,color_tinta,tecla_correcta
amarillo,red,up
amarillo,green,left
rojo,yellow,right
amarillo,green,left
azul,yellow,right
amarillo,green,left
rojo,blue,down
rojo,green,left
verde,blue,down
verde,red,up
amarillo,blue,down
verde,red,up
rojo,blue,down
verde,yellow,right
amarillo,red,up
azul,yellow,right
amarillo,red,up
amarillo,blue,down
azul,green,left
azul,yellow,right
rojo,blue,down
azul,green,left
verde,blue,down
verde,yellow,right
rojo,green,left
verde,yellow,right
verde,red,up
verde,blue,down
azul,green,left
amarillo,blue,down
azul,red,up
rojo,yellow,right
azul,red,up
rojo,green,left
rojo,yellow,right
azul,red,up
