palabra,color_tinta,tecla_correcta
rojo,yellow,right
amarillo,blue,down
rojo,yellow,right
azul,red,up
azul,green,left
amarillo,blue,down
rojo,green,left
rojo,blue,down
azul,green,left
amarillo,red,up
verde,blue,down
verde,yellow,right
verde,red,up
azul,green,left
verde,blue,down
azul,yellow,right
amarillo,blue,down
amarillo,red,up
azul,yellow,right
verde,blue,down
verde,yellow,right
amarillo,green,left
verde,red,up
amarillo,green,left
amarillo,red,up
amarillo,green,left
azul,red,up
rojo,green,left
rojo,blue,down
verde,yellow,right
azul,red,up
azul,yellow,right
rojo,blue,down
rojo,green,left
verde,red,up
rojo,yellow,right
