palabra,color_tinta,tecla_correcta
amarillo,blue,down
azul,yellow,right
amarillo,red,up
rojo,green,left
azul,yellow,right
rojo,green,left
rojo,blue,down
azul,yellow,right
amarillo,red,up
rojo,yellow,right
verde,red,up
azul,green,left
rojo,blue,down
amarillo,green,left
rojo,yellow,right
verde,red,up
rojo,yellow,right
amarillo,red,up
amarillo,green,left
verde,yellow,right
amarillo,green,left
rojo,blue,down
verde,red,up
verde,blue,down
azul,red,up
verde,yellow,right
azul,green,left
verde,blue,down
azul,red,up
verde,yellow,right
rojo,green,left
amarillo,blue,down
azul,green,left
amarillo,blue,down
azul,red,up
verde,blue,down
