palabra,color_tinta,tecla_correcta
verde,yellow,right
rojo,green,left
azul,yellow,right
azul,red,up
azul,green,left
amarillo,red,up
rojo,yellow,right
verde,red,up
rojo,blue,down
rojo,yellow,right
azul,green,left
azul,red,up
rojo,blue,down
azul,yellow,right
rojo,green,left
verde,yellow,right
amarillo,blue,down
amarillo,green,left
amarillo,red,up
verde,yellow,right
amarillo,blue,down
azul,red,up
amarillo,blue,down
rojo,green,left
rojo,blue,down
azul,green,left
verde,red,up
rojo,yellow,right
amarillo,green,left
verde,blue,down
amarillo,green,left
verde,red,up
azul,yellow,right
verde,blue,down
amarillo,red,up
verde,blue,down
