palabra,color_tinta,tecla_correcta
verde,blue,down
azul,red,up
amarillo,blue,down
azul,yellow,right
rojo,blue,down
verde,red,up
rojo,green,left
verde,yellow,right
amarillo,red,up
amarillo,blue,down
azul,green,left
amarillo,blue,down
amarillo,green,left
azul,yellow,right
amarillo,green,left
rojo,blue,down
amarillo,green,left
amarillo,red,up
verde,yellow,right
azul,red,up
rojo,blue,down
azul,green,left
amarillo,red,up
azul,green,left
verde,red,up
verde,yellow,right
verde,blue,down
rojo,green,left
verde,blue,down
rojo,yellow,right
azul,red,up
rojo,yellow,right
rojo,green,left
azul,yellow,right
verde,red,up
rojo,yellow,right
