palabra,color_tinta,tecla_correcta
verde,yellow,right
azul,red,up
azul,yellow,right
azul,green,left
amarillo,red,up
amarillo,green,left
verde,red,up
verde,yellow,right
verde,blue,down
rojo,green,left
verde,red,up
amarillo,green,left
rojo,blue,down
amarillo,green,left
verde,blue,down
verde,red,up
verde,blue,down
amarillo,red,up
azul,green,left
azul,yellow,right
azul,red,up
azul,yellow,right
azul,red,up
rojo,blue,down
azul,green,left
amarillo,blue,down
rojo,green,left
amarillo,blue,down
verde,yellow,right
rojo,blue,down
amarillo,red,up
rojo,yellow,right
amarillo,blue,down
rojo,yellow,right
rojo,green,left
rojo,yellow,right
