palabra,color_tinta,tecla_correcta
amarillo,red,up
amarillo,green,left
amarillo,blue,down
azul,yellow,right
amarillo,blue,down
azul,red,up
rojo,blue,down
amarillo,green,left
amarillo,blue,down
amarillo,green,left
azul,red,up
verde,yellow,right
azul,red,up
azul,yellow,right
azul,green,left
rojo,yellow,right
azul,green,left
verde,red,up
verde,blue,down
verde,yellow,right
verde,blue,down
rojo,yellow,right
verde,blue,down
azul,green,left
rojo,blue,down
amarillo,red,up
verde,yellow,right
rojo,green,left
rojo,blue,down
amarillo,red,up
rojo,green,left
verde,red,up
rojo,green,left
rojo,yellow,right
verde,red,up
azul,yellow,right
