palabra,color_tinta,tecla_correcta
amarillo,green,left
verde,red,up
rojo,yellow,right
azul,red,up
rojo,yellow,right
amarillo,green,left
verde,yellow,right
azul,red,up
amarillo,blue,down
verde,yellow,right
azul,green,left
azul,yellow,right
amarillo,green,left
amarillo,blue,down
verde,red,up
verde,yellow,right
rojo,green,left
verde,red,up
verde,blue,down
rojo,green,left
verde,blue,down
azul,yellow,right
azul,red,up
rojo,green,left
rojo,blue,down
amarillo,red,up
verde,blue,down
azul,yellow,right
azul,green,left
amarillo,blue,down
azul,green,left
rojo,yellow,right
amarillo,red,up
rojo,blue,down
amarillo,red,up
rojo,blue,down
