palabra,color_tinta,tecla_correcta
azul,yellow,right
azul,red,up
verde,yellow,right
amarillo,red,up
verde,blue,down
amarillo,green,left
rojo,yellow,right
rojo,blue,down
azul,yellow,right
verde,red,up
amarillo,blue,down
verde,yellow,right
rojo,blue,down
amarillo,green,left
rojo,yellow,right
azul,red,up
amarillo,blue,down
azul,yellow,right
verde,blue,down
azul,red,up
rojo,yellow,right
azul,green,left
verde,yellow,right
amarillo,blue,down
azul,green,left
verde,blue,down
azul,green,left
verde,red,up
rojo,green,left
verde,red,up
rojo,green,left
rojo,blue,down
rojo,green,left
amarillo,red,up
amarillo,green,left
amarillo,red,up
