palabra,color_tinta,tecla_correcta
rojo,blue,down
rojo,yellow,right
rojo,green,left
amarillo,blue,down
azul,yellow,right
amarillo,green,left
rojo,yellow,right
rojo,green,left
rojo,yellow,right
verde,blue,down
azul,yellow,right
verde,red,up
rojo,green,left
azul,red,up
azul,green,left
verde,red,up
amarillo,blue,down
amarillo,green,left
rojo,blue,down
verde,yellow,right
verde,red,up
verde,blue,down
amarillo,red,up
azul,yellow,right
verde,blue,down
verde,yellow,right
amarillo,blue,down
azul,green,left
verde,yellow,right
azul,red,up
rojo,blue,down
azul,red,up
azul,green,left
amarillo,red,up
amarillo,green,left
amarillo,red,up
