palabra,color_tinta,tecla_correcta
rojo,green,left
rojo,blue,down
azul,green,left
azul,yellow,right
verde,blue,down
amarillo,red,up
azul,yellow,right
amarillo,green,left
rojo,yellow,right
azul,red,up
verde,yellow,right
amarillo,red,up
rojo,green,left
azul,red,up
amarillo,blue,down
rojo,yellow,right
verde,red,up
amarillo,green,left
amarillo,blue,down
verde,yellow,right
verde,blue,down
rojo,green,left
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
amarillo,green,left
verde,blue,down
azul,yellow,right
verde,red,up
rojo,blue,down
azul,red,up
rojo,blue,down
azul,green,left
verde,red,up
verde,yellow,right
azul,green,left
