palabra,color_tinta,tecla_correcta
verde,red,up
rojo,yellow,right
azul,red,up
verde,blue,down
amarillo,red,up
amarillo,blue,down
azul,green,left
verde,blue,down
rojo,yellow,right
amarillo,blue,down
rojo,green,left
amarillo,red,up
rojo,yellow,right
azul,red,up
verde,blue,down
amarillo,red,up
amarillo,blue,down
azul,red,up
rojo,blue,down
rojo,green,left
verde,red,up
verde,yellow,right
rojo,blue,down
azul,yellow,right
azul,green,left
verde,yellow,right
rojo,blue,down
amarillo,green,left
verde,red,up
amarillo,green,left
azul,yellow,right
rojo,green,left
azul,yellow,right
azul,green,left
verde,yellow,right
amarillo,green,left
