palabra,color_tinta,tecla_correcta
verde,yellow,right
azul,green,left
azul,yellow,right
verde,blue,down
amarillo,red,up
rojo,yellow,right
amarillo,green,left
verde,yellow,right
verde,red,up
azul,green,left
verde,yellow,right
rojo,blue,down
azul,yellow,right
amarillo,green,left
amarillo,blue,down
verde,red,up
amarillo,blue,down
amarillo,red,up
rojo,blue,down
amarillo,green,left
rojo,blue,down
rojo,yellow,right
amarillo,blue,down
azul,red,up
verde,blue,down
rojo,yellow,right
amarillo,red,up
azul,green,left
verde,blue,down
azul,red,up
azul,yellow,right
rojo,green,left
verde,red,up
rojo,green,left
azul,red,up
rojo,green,left
