palabra,color_tinta,tecla_correcta
verde,red,up
amarillo,green,left
rojo,yellow,right
amarillo,blue,down
azul,red,up
azul,green,left
amarillo,red,up
azul,yellow,right
azul,red,up
verde,blue,down
rojo,green,left
verde,red,up
rojo,blue,down
verde,red,up
verde,blue,down
rojo,green,left
amarillo,blue,down
azul,yellow,right
amarillo,red,up
verde,blue,down
azul,green,left
amarillo,blue,down
verde,yellow,right
azul,red,up
azul,green,left
verde,yellow,right
rojo,blue,down
rojo,green,left
amarillo,red,up
rojo,yellow,right
rojo,blue,down
verde,yellow,right
amarillo,green,left
rojo,yellow,right
amarillo,green,left
azul,yellow,right
