palabra,color_tinta,tecla_correcta
verde,red,up
rojo,blue,down
azul,red,up
azul,yellow,right
rojo,blue,down
azul,green,left
amarillo,red,up
amarillo,green,left
azul,red,up
verde,blue,down
rojo,green,left
azul,red,up
rojo,blue,down
amarillo,red,up
verde,yellow,right
amarillo,red,up
rojo,green,left
rojo,yellow,right
verde,blue,down
rojo,yellow,right
azul,green,left
azul,yellow,right
verde,blue,down
rojo,yellow,right
amarillo,green,left
verde,red,up
azul,green,left
azul,yellow,right
amarillo,green,left
verde,red,up
verde,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
rojo,green,left
amarillo,blue,down
