palabra,color_tinta,tecla_correcta
verde,red,up
rojo,blue,down
verde,yellow,right
verde,red,up
azul,yellow,right
verde,blue,down
amarillo,red,up
verde,blue,down
verde,yellow,right
verde,blue,down
amarillo,green,left
amarillo,blue,down
azul,red,up
rojo,blue,down
azul,green,left
rojo,yellow,right
rojo,green,left
rojo,blue,down
amarillo,red,up
rojo,yellow,right
amarillo,green,left
amarillo,red,up
amarillo,blue,down
azul,green,left
azul,yellow,right
amarillo,green,left
amarillo,blue,down
azul,green,left
azul,yellow,right
rojo,green,left
verde,red,up
rojo,yellow,right
azul,red,up
rojo,green,left
azul,red,up
verde,yellow,right
