palabra,color_tinta,tecla_correcta
amarillo,green,left
amarillo,blue,down
verde,yellow,right
rojo,blue,down
verde,yellow,right
azul,red,up
verde,yellow,right
amarillo,red,up
azul,yellow,right
azul,red,up
verde,blue,down
azul,red,up
rojo,green,left
amarillo,red,up
rojo,green,left
rojo,yellow,right
amarillo,red,up
rojo,green,left
rojo,blue,down
amarillo,green,left
amarillo,blue,down
amarillo,green,left
verde,blue,down
azul,yellow,right
verde,blue,down
azul,yellow,right
verde,red,up
azul,green,left
amarillo,blue,down
verde,red,up
azul,green,left
rojo,blue,down
rojo,yellow,right
azul,green,left
rojo,yellow,right
verde,red,up
