palabra,color_tinta,tecla_correcta
rojo,blue,down
rojo,yellow,right
amarillo,red,up
amarillo,green,left
rojo,blue,down
verde,red,up
amarillo,blue,down
azul,green,left
amarillo,blue,down
verde,red,up
rojo,blue,down
azul,yellow,right
rojo,green,left
azul,red,up
rojo,yellow,right
amarillo,blue,down
azul,yellow,right
verde,red,up
amarillo,green,left
verde,yellow,right
amarillo,red,up
rojo,green,left
azul,yellow,right
amarillo,green,left
verde,blue,down
rojo,green,left
verde,yellow,right
azul,red,up
rojo,yellow,right
azul,green,left
amarillo,red,up
azul,green,left
verde,yellow,right
verde,blue,down
azul,red,up
verde,blue,down
