palabra,color_tinta,tecla_correcta
rojo,blue,down
azul,red,up
rojo,yellow,right
amarillo,red,up
rojo,yellow,right
rojo,green,left
azul,red,up
verde,blue,down
azul,red,up
rojo,blue,down
verde,yellow,right
verde,red,up
amarillo,green,left
verde,red,up
amarillo,green,left
verde,blue,down
amarillo,red,up
amarillo,blue,down
azul,green,left
rojo,blue,down
rojo,yellow,right
rojo,green,left
verde,red,up
verde,yellow,right
amarillo,red,up
verde,blue,down
rojo,green,left
verde,yellow,right
azul,green,left
amarillo,blue,down
azul,yellow,right
amarillo,green,left
amarillo,blue,down
azul,yellow,right
azul,green,left
azul,yellow,right
