palabra,color_tinta,tecla_correcta
rojo,yellow,right
verde,red,up
rojo,yellow,right
azul,red,up
azul,green,left
verde,blue,down
verde,yellow,right
amarillo,red,up
amarillo,blue,down
verde,red,up
azul,yellow,right
azul,green,left
rojo,yellow,right
rojo,blue,down
verde,red,up
verde,yellow,right
amarillo,blue,down
amarillo,green,left
azul,red,up
azul,yellow,right
amarillo,red,up
rojo,blue,down
azul,green,left
amarillo,red,up
verde,blue,down
azul,red,up
rojo,green,left
verde,blue,down
rojo,green,left
verde,yellow,right
amarillo,green,left
rojo,blue,down
rojo,green,left
amarillo,blue,down
azul,yellow,right
amarillo,green,left
