palabra,color_tinta,tecla_correcta
rojo,blue,down
rojo,green,left
verde,blue,down
verde,yellow,right
rojo,green,left
verde,yellow,right
rojo,green,left
rojo,blue,down
azul,yellow,right
amarillo,blue,down
azul,green,left
amarillo,red,up
amarillo,green,left
verde,red,up
verde,yellow,right
amarillo,green,left
rojo,blue,down
amarillo,green,left
amarillo,red,up
verde,blue,down
amarillo,red,up
azul,green,left
azul,yellow,right
azul,green,left
verde,blue,down
verde,red,up
amarillo,blue,down
verde,red,up
rojo,yellow,right
amarillo,blue,down
azul,yellow,right
azul,red,up
rojo,yellow,right
azul,red,up
rojo,yellow,right
azul,red,up
