palabra,color_tinta,tecla_correcta
amarillo,red,up
rojo,blue,down
amarillo,red,up
verde,yellow,right
azul,red,up
rojo,green,left
azul,red,up
verde,blue,down
azul,red,up
verde,yellow,right
amarillo,blue,down
verde,yellow,right
verde,blue,down
amarillo,red,up
verde,blue,down
azul,green,left
amarillo,blue,down
verde,red,up
rojo,yellow,right
amarillo,green,left
rojo,yellow,right
azul,green,left
rojo,blue,down
rojo,green,left
rojo,yellow,right
azul,green,left
rojo,blue,down
verde,red,up
amarillo,green,left
amarillo,blue,down
amarillo,green,left
azul,yellow,right
rojo,green,left
azul,yellow,right
verde,red,up
azul,yellow,right
