palabra,color_tinta,tecla_correcta
verde,blue,down
azul,red,up
rojo,yellow,right
rojo,green,left
azul,red,up
verde,yellow,right
verde,red,up
verde,blue,down
amarillo,red,up
rojo,blue,down
azul,yellow,right
verde,red,up
verde,blue,down
verde,red,up
azul,yellow,right
azul,green,left
amarillo,blue,down
amarillo,green,left
rojo,blue,down
rojo,yellow,right
rojo,blue,down
rojo,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,green,left
amarillo,red,up
verde,yellow,right
azul,green,left
amarillo,blue,down
azul,green,left
amarillo,red,up
rojo,green,left
azul,yellow,right
rojo,green,left
azul,red,up
amarillo,green,left
