palabra,color_tinta,tecla_correcta
amarillo,green,left
rojo,blue,down
azul,red,up
rojo,green,left
verde,yellow,right
rojo,green,left
rojo,blue,down
amarillo,green,left
azul,yellow,right
rojo,green,left
azul,red,up
verde,blue,down
amarillo,green,left
rojo,yellow,right
azul,green,left
amarillo,blue,down
azul,red,up
verde,blue,down
verde,red,up
rojo,yellow,right
verde,red,up
azul,green,left
amarillo,red,up
verde,blue,down
verde,red,up
azul,yellow,right
amarillo,red,up
azul,yellow,right
amarillo,red,up
azul,green,left
verde,yellow,right
rojo,blue,down
verde,yellow,right
amarillo,blue,down
rojo,yellow,right
amarillo,blue,down
