palabra,color_tinta,tecla_correcta
rojo,green,left
verde,red,up
azul,green,left
verde,red,up
verde,yellow,right
amarillo,red,up
amarillo,blue,down
azul,yellow,right
amarillo,green,left
rojo,blue,down
azul,yellow,right
verde,blue,down
azul,yellow,right
azul,red,up
verde,yellow,right
azul,green,left
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
amarillo,red,up
amarillo,green,left
azul,red,up
amarillo,green,left
amarillo,red,up
rojo,blue,down
rojo,green,left
verde,red,up
rojo,green,left
rojo,yellow,right
azul,red,up
rojo,blue,down
azul,green,left
rojo,yellow,right
verde,blue,down
rojo,yellow,right
verde,blue,down
