palabra,color_tinta,tecla_correcta
rojo,green,left
rojo,yellow,right
amarillo,red,up
amarillo,blue,down
verde,yellow,right
amarillo,red,up
verde,yellow,right
verde,red,up
verde,blue,down
amarillo,green,left
azul,red,up
amarillo,green,left
verde,red,up
amarillo,green,left
azul,red,up
verde,yellow,right
verde,blue,down
amarillo,red,up
rojo,blue,down
verde,red,up
amarillo,blue,down
azul,red,up
verde,blue,down
azul,green,left
amarillo,blue,down
rojo,yellow,right
rojo,green,left
azul,yellow,right
rojo,green,left
rojo,blue,down
azul,green,left
rojo,yellow,right
rojo,blue,down
azul,yellow,right
azul,green,left
azul,yellow,right
