palabra,color_tinta,tecla_correcta
amarillo,red,up
rojo,green,left
rojo,blue,down
rojo,green,left
rojo,blue,down
rojo,green,left
verde,red,up
rojo,yellow,right
verde,red,up
verde,yellow,right
amarillo,green,left
verde,blue,down
azul,green,left
verde,yellow,right
verde,blue,down
azul,red,up
amarillo,blue,down
verde,red,up
verde,yellow,right
amarillo,blue,down
azul,green,left
amarillo,blue,down
amarillo,green,left
amarillo,red,up
azul,yellow,right
verde,blue,down
azul,green,left
azul,yellow,right
amarillo,red,up
azul,yellow,right
azul,red,up
amarillo,green,left
azul,red,up
rojo,yellow,right
rojo,blue,down
rojo,yellow,right
