palabra,color_tinta,tecla_correcta
rojo,blue,down
azul,red,up
azul,yellow,right
verde,blue,down
rojo,green,left
azul,yellow,right
rojo,blue,down
amarillo,green,left
azul,yellow,right
azul,green,left
rojo,blue,down
verde,yellow,right
amarillo,red,up
amarillo,blue,down
rojo,yellow,right
verde,red,up
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
amarillo,blue,down
verde,red,up
rojo,yellow,right
azul,red,up
azul,green,left
verde,red,up
azul,green,left
azul,red,up
verde,blue,down
amarillo,red,up
rojo,green,left
verde,yellow,right
amarillo,green,left
verde,yellow,right
rojo,green,left
verde,blue,down
amarillo,green,left
