palabra,color_tinta,tecla_correcta
rojo,green,left
verde,yellow,right
rojo,blue,down
azul,red,up
amarillo,green,left
rojo,blue,down
amarillo,green,left
verde,blue,down
azul,red,up
azul,green,left
azul,yellow,right
verde,blue,down
rojo,yellow,right
amarillo,green,left
verde,red,up
verde,yellow,right
rojo,blue,down
verde,red,up
azul,yellow,right
rojo,green,left
amarillo,red,up
amarillo,blue,down
azul,green,left
amarillo,red,up
verde,blue,down
rojo,green,left
rojo,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,red,up
rojo,yellow,right
azul,red,up
amarillo,blue,down
azul,green,left
azul,yellow,right
verde,red,up
