palabra,color_tinta,tecla_correcta
amarillo,red,up
verde,blue,down
azul,yellow,right
verde,blue,down
azul,red,up
azul,yellow,right
azul,red,up
azul,green,left
verde,yellow,right
rojo,green,left
verde,blue,down
amarillo,red,up
rojo,green,left
amarillo,red,up
rojo,blue,down
azul,red,up
rojo,yellow,right
rojo,blue,down
azul,green,left
verde,red,up
amarillo,blue,down
azul,green,left
azul,yellow,right
verde,red,up
rojo,yellow,right
rojo,green,left
rojo,blue,down
verde,yellow,right
verde,red,up
rojo,yellow,right
amarillo,green,left
amarillo,blue,down
amarillo,green,left
amarillo,blue,down
verde,yellow,right
amarillo,green,left
