palabra,color_tinta,tecla_correcta
verde,yellow,right
amarillo,red,up
azul,yellow,right
amarillo,green,left
azul,yellow,right
rojo,blue,down
rojo,yellow,right
amarillo,blue,down
azul,yellow,right
verde,blue,down
rojo,green,left
amarillo,blue,down
verde,yellow,right
azul,red,up
amarillo,green,left
verde,blue,down
rojo,green,left
rojo,yellow,right
azul,green,left
amarillo,blue,down
amarillo,red,up
amarillo,green,left
verde,red,up
verde,yellow,right
amarillo,red,up
rojo,green,left
rojo,yellow,right
verde,red,up
azul,green,left
verde,blue,down
verde,red,up
rojo,blue,down
azul,green,left
azul,red,up
rojo,blue,down
azul,red,up
