palabra,color_tinta,tecla_correcta
rojo,green,left
verde,blue,down
verde,red,up
azul,green,left
amarillo,red,up
verde,blue,down
amarillo,green,left
amarillo,blue,down
verde,yellow,right
azul,red,up
rojo,green,left
verde,blue,down
rojo,green,left
rojo,yellow,right
amarillo,blue,down
verde,red,up
amarillo,blue,down
azul,yellow,right
verde,red,up
azul,yellow,right
azul,green,left
verde,yellow,right
rojo,blue,down
rojo,yellow,right
amarillo,green,left
rojo,blue,down
amarillo,red,up
amarillo,green,left
azul,red,up
azul,green,left
azul,red,up
verde,yellow,right
rojo,blue,down
azul,yellow,right
amarillo,red,up
rojo,yellow,right
