palabra,color_tinta,tecla_correcta
rojo,green,left
amarillo,red,up
verde,yellow,right
verde,blue,down
azul,yellow,right
amarillo,green,left
rojo,yellow,right
verde,blue,down
rojo,green,left
verde,red,up
rojo,green,left
azul,yellow,right
azul,green,left
verde,yellow,right
amarillo,green,left
verde,blue,down
rojo,yellow,right
azul,green,left
rojo,blue,down
azul,red,up
amarillo,blue,down
amarillo,red,up
amarillo,green,left
verde,yellow,right
rojo,blue,down
azul,red,up
azul,green,left
azul,yellow,right
rojo,blue,down
azul,red,up
amarillo,blue,down
amarillo,red,up
rojo,yellow,right
verde,red,up
amarillo,blue,down
verde,red,up
