palabra,color_tinta,tecla_correcta
verde,red,up
verde,yellow,right
rojo,green,left
azul,yellow,right
amarillo,red,up
verde,blue,down
amarillo,green,left
azul,red,up
rojo,green,left
verde,red,up
azul,yellow,right
verde,red,up
azul,yellow,right
amarillo,red,up
rojo,yellow,right
amarillo,green,left
rojo,blue,down
azul,green,left
rojo,blue,down
rojo,green,left
verde,blue,down
verde,yellow,right
rojo,blue,down
amarillo,red,up
azul,green,left
amarillo,blue,down
verde,yellow,right
azul,red,up
rojo,yellow,right
azul,red,up
rojo,yellow,right
verde,blue,down
amarillo,green,left
amarillo,blue,down
azul,green,left
amarillo,blue,down
