palabra,color_tinta,tecla_correcta
rojo,green,left
amarillo,blue,down
azul,green,left
rojo,blue,down
amarillo,red,up
amarillo,green,left
rojo,blue,down
azul,red,up
verde,yellow,right
rojo,green,left
amarillo,red,up
azul,green,left
verde,blue,down
rojo,green,left
azul,yellow,right
rojo,blue,down
amarillo,red,up
rojo,yellow,right
amarillo,green,left
verde,yellow,right
azul,green,left
rojo,yellow,right
verde,blue,down
verde,yellow,right
azul,red,up
rojo,yellow,right
amarillo,blue,down
verde,red,up
amarillo,blue,down
azul,red,up
verde,blue,down
azul,yellow,right
verde,red,up
azul,yellow,right
amarillo,green,left
verde,red,up
