palabra,color_tinta,tecla_correcta
azul,yellow,right
amarillo,red,up
verde,blue,down
rojo,green,left
rojo,blue,down
amarillo,red,up
verde,blue,down
verde,yellow,right
rojo,green,left
amarillo,blue,down
rojo,green,left
verde,yellow,right
amarillo,green,left
amarillo,blue,down
azul,green,left
verde,blue,down
verde,yellow,right
amarillo,green,left
amarillo,red,up
amarillo,blue,down
azul,yellow,right
verde,red,up
rojo,blue,down
verde,red,up
azul,green,left
rojo,blue,down
azul,red,up
rojo,yellow,right
amarillo,green,left
verde,red,up
rojo,yellow,right
azul,red,up
azul,yellow,right
azul,green,left
azul,red,up
rojo,yellow,right
