palabra,color_tinta,tecla_correcta
rojo,green,left
azul,yellow,right
verde,red,up
rojo,green,left
azul,red,up
verde,blue,down
azul,green,left
azul,yellow,right
azul,green,left
verde,yellow,right
verde,blue,down
azul,yellow,right
rojo,green,left
amarillo,blue,down
amarillo,green,left
amarillo,red,up
azul,green,left
amarillo,blue,down
verde,red,up
amarillo,blue,down
azul,red,up
rojo,yellow,right
azul,red,up
verde,blue,down
verde,red,up
amarillo,green,left
verde,yellow,right
rojo,blue,down
rojo,yellow,right
amarillo,green,left
verde,yellow,right
amarillo,red,up
rojo,yellow,right
rojo,blue,down
amarillo,red,up
rojo,blue,down
