palabra,color_tinta,tecla_correcta
amarillo,green,left
verde,red,up
azul,yellow,right
rojo,green,left
azul,yellow,right
verde,red,up
amarillo,blue,down
azul,yellow,right
rojo,blue,down
rojo,yellow,right
amarillo,green,left
verde,red,up
rojo,blue,down
azul,green,left
azul,red,up
verde,yellow,right
amarillo,blue,down
azul,green,left
azul,red,up
rojo,blue,down
rojo,green,left
verde,blue,down
verde,yellow,right
rojo,green,left
amarillo,blue,down
amarillo,green,left
amarillo,red,up
verde,blue,down
azul,green,left
verde,yellow,right
azul,red,up
rojo,yellow,right
verde,blue,down
amarillo,red,up
rojo,yellow,right
amarillo,red,up
