palabra,color_tinta,tecla_correcta
verde,yellow,right
amarillo,red,up
amarillo,green,left
rojo,blue,down
azul,yellow,right
amarillo,red,up
rojo,green,left
azul,yellow,right
amarillo,green,left
rojo,yellow,right
rojo,blue,down
amarillo,red,up
rojo,green,left
rojo,yellow,right
verde,red,up
azul,yellow,right
amarillo,blue,down
azul,red,up
rojo,green,left
rojo,blue,down
azul,green,left
verde,red,up
amarillo,blue,down
rojo,yellow,right
amarillo,green,left
verde,red,up
azul,green,left
azul,red,up
verde,yellow,right
verde,blue,down
verde,yellow,right
verde,blue,down
azul,green,left
amarillo,blue,down
azul,red,up
verde,blue,down
