palabra,color_tinta,tecla_correcta
verde,yellow,right
azul,red,up
azul,yellow,right
rojo,blue,down
azul,yellow,right
amarillo,green,left
verde,yellow,right
amarillo,green,left
verde,yellow,right
amarillo,blue,down
amarillo,red,up
rojo,green,left
azul,red,up
azul,yellow,right
rojo,blue,down
azul,red,up
verde,blue,down
rojo,green,left
rojo,yellow,right
amarillo,blue,down
amarillo,red,up
rojo,green,left
verde,red,up
rojo,blue,down
amarillo,red,up
azul,green,left
rojo,yellow,right
amarillo,green,left
verde,red,up
verde,blue,down
verde,red,up
azul,green,left
rojo,yellow,right
verde,blue,down
azul,green,left
amarillo,blue,down
