palabra,color_tinta,tecla_correcta
azul,red,up
amarillo,blue,down
azul,yellow,right
rojo,green,left
rojo,blue,down
azul,yellow,right
amarillo,blue,down
rojo,green,left
azul,red,up
verde,blue,down
azul,yellow,right
azul,red,up
amarillo,green,left
verde,blue,down
azul,green,left
verde,yellow,right
amarillo,green,left
rojo,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,green,left
amarillo,red,up
verde,yellow,right
amarillo,red,up
azul,green,left
rojo,yellow,right
rojo,blue,down
rojo,yellow,right
rojo,blue,down
amarillo,red,up
azul,green,left
verde,red,up
verde,blue,down
verde,red,up
rojo,green,left
verde,red,up
