palabra,color_tinta,tecla_correcta
amarillo,red,up
rojo,yellow,right
azul,red,up
amarillo,blue,down
verde,red,up
rojo,green,left
rojo,yellow,right
azul,red,up
verde,yellow,right
amarillo,blue,down
verde,yellow,right
azul,red,up
amarillo,blue,down
azul,yellow,right
verde,blue,down
verde,red,up
rojo,yellow,right
verde,red,up
amarillo,green,left
azul,yellow,right
rojo,blue,down
amarillo,red,up
amarillo,green,left
rojo,blue,down
azul,green,left
amarillo,red,up
amarillo,green,left
verde,blue,down
rojo,green,left
azul,yellow,right
azul,green,left
verde,yellow,right
verde,blue,down
rojo,green,left
rojo,blue,down
azul,green,left
