palabra,color_tinta,tecla_correcta
rojo,yellow,right
amarillo,green,left
verde,yellow,right
verde,blue,down
azul,yellow,right
verde,blue,down
azul,green,left
azul,yellow,right
rojo,green,left
verde,blue,down
verde,yellow,right
azul,red,up
verde,yellow,right
amarillo,green,left
azul,red,up
amarillo,blue,down
amarillo,red,up
amarillo,green,left
amarillo,blue,down
azul,green,left
azul,red,up
rojo,yellow,right
amarillo,red,up
rojo,blue,down
verde,red,up
azul,green,left
azul,yellow,right
rojo,blue,down
amarillo,red,up
rojo,yellow,right
verde,red,up
rojo,green,left
rojo,blue,down
verde,red,up
rojo,green,left
amarillo,blue,down
