palabra,color_tinta,tecla_correcta
rojo,blue,down
rojo,green,left
azul,yellow,right
amarillo,red,up
rojo,yellow,right
amarillo,red,up
azul,green,left
azul,red,up
amarillo,green,left
azul,yellow,right
rojo,green,left
azul,red,up
verde,blue,down
amarillo,red,up
amarillo,blue,down
amarillo,green,left
azul,red,up
verde,yellow,right
verde,red,up
rojo,green,left
verde,yellow,right
azul,green,left
azul,yellow,right
azul,green,left
amarillo,blue,down
rojo,yellow,right
verde,red,up
rojo,blue,down
verde,yellow,right
amarillo,blue,down
rojo,yellow,right
verde,blue,down
verde,red,up
verde,blue,down
amarillo,green,left
rojo,blue,down
