palabra,color_tinta,tecla_correcta
rojo,blue,down
amarillo,red,up
amarillo,green,left
verde,blue,down
amarillo,green,left
verde,blue,down
amarillo,red,up
azul,green,left
verde,yellow,right
amarillo,blue,down
azul,yellow,right
amarillo,blue,down
amarillo,green,left
rojo,yellow,right
azul,red,up
azul,yellow,right
azul,red,up
verde,yellow,right
amarillo,red,up
verde,yellow,right
verde,red,up
azul,yellow,right
azul,red,up
amarillo,blue,down
azul,green,left
rojo,blue,down
rojo,green,left
rojo,yellow,right
azul,green,left
verde,red,up
rojo,green,left
verde,blue,down
verde,red,up
rojo,blue,down
rojo,yellow,right
rojo,green,left
