palabra,color_tinta,tecla_correcta
verde,yellow,right
verde,blue,down
verde,yellow,right
rojo,blue,down
azul,green,left
rojo,yellow,right
rojo,green,left
azul,yellow,right
azul,red,up
verde,blue,down
amarillo,green,left
verde,blue,down
amarillo,green,left
amarillo,red,up
rojo,yellow,right
amarillo,green,left
amarillo,red,up
rojo,blue,down
verde,red,up
amarillo,blue,down
rojo,yellow,right
azul,red,up
azul,yellow,right
amarillo,blue,down
rojo,green,left
rojo,blue,down
azul,red,up
rojo,green,left
amarillo,blue,down
verde,red,up
azul,yellow,right
amarillo,red,up
verde,yellow,right
azul,green,left
verde,red,up
azul,green,left
