palabra,color_tinta,tecla_correcta
azul,green,left
azul,yellow,right
amarillo,blue,down
verde,yellow,right
amarillo,blue,down
verde,yellow,right
verde,red,up
azul,yellow,right
amarillo,blue,down
azul,red,up
azul,green,left
azul,red,up
rojo,yellow,right
rojo,blue,down
azul,green,left
amarillo,red,up
rojo,yellow,right
azul,red,up
rojo,green,left
rojo,blue,down
amarillo,red,up
amarillo,green,left
verde,yellow,right
verde,red,up
azul,yellow,right
amarillo,green,left
verde,red,up
verde,blue,down
rojo,green,left
amarillo,red,up
rojo,yellow,right
verde,blue,down
amarillo,green,left
verde,blue,down
rojo,green,left
rojo,blue,down
