palabra,color_tinta,tecla_correcta
verde,yellow,right
amarillo,green,left
azul,yellow,right
amarillo,green,left
azul,yellow,right
amarillo,red,up
rojo,green,left
rojo,blue,down
azul,yellow,right
azul,green,left
verde,yellow,right
verde,red,up
rojo,yellow,right
azul,red,up
azul,green,left
azul,red,up
amarillo,green,left
verde,yellow,right
verde,red,up
verde,blue,down
azul,red,up
rojo,blue,down
amarillo,red,up
rojo,blue,down
amarillo,red,up
verde,blue,down
rojo,green,left
verde,blue,down
rojo,green,left
amarillo,blue,down
rojo,yellow,right
verde,red,up
azul,green,left
amarillo,blue,down
rojo,yellow,right
amarillo,blue,down
