palabra,color_tinta,tecla_correcta
amarillo,blue,down
rojo,yellow,right
rojo,green,left
rojo,yellow,right
amarillo,red,up
amarillo,green,left
amarillo,red,up
amarillo,blue,down
amarillo,green,left
verde,blue,down
azul,red,up
rojo,blue,down
rojo,green,left
azul,yellow,right
amarillo,red,up
rojo,blue,down
azul,yellow,right
verde,blue,down
verde,yellow,right
rojo,blue,down
verde,yellow,right
verde,red,up
rojo,yellow,right
verde,red,up
amarillo,blue,down
azul,green,left
verde,blue,down
azul,red,up
verde,yellow,right
rojo,green,left
azul,yellow,right
azul,green,left
verde,red,up
azul,green,left
azul,red,up
amarillo,green,left
