palabra,color_tinta,tecla_correcta
rojo,green,left
azul,red,up
rojo,yellow,right
amarillo,red,up
rojo,green,left
rojo,blue,down
rojo,green,left
azul,yellow,right
amarillo,blue,down
amarillo,green,left
azul,red,up
rojo,blue,down
verde,red,up
azul,yellow,right
rojo,blue,down
verde,red,up
amarillo,green,left
azul,red,up
rojo,yellow,right
verde,blue,down
amarillo,green,left
amarillo,red,up
azul,yellow,right
verde,red,up
verde,blue,down
verde,yellow,right
amarillo,red,up
amarillo,blue,down
verde,yellow,right
azul,green,left
rojo,yellow,right
verde,blue,down
azul,green,left
amarillo,blue,down
verde,yellow,right
azul,green,left
