palabra,color_tinta,tecla_correcta
rojo,blue,down
amarillo,green,left
verde,blue,down
amarillo,green,left
azul,red,up
verde,blue,down
azul,green,left
verde,blue,down
amarillo,red,up
azul,green,left
amarillo,blue,down
verde,yellow,right
azul,green,left
verde,red,up
azul,yellow,right
rojo,blue,down
verde,yellow,right
azul,red,up
amarillo,blue,down
amarillo,red,up
amarillo,blue,down
rojo,yellow,right
amarillo,red,up
rojo,green,left
rojo,yellow,right
verde,red,up
rojo,green,left
rojo,yellow,right
amarillo,green,left
verde,red,up
azul,yellow,right
rojo,blue,down
azul,red,up
azul,yellow,right
rojo,green,left
verde,yellow,right
